ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_24,Pre,3,Trial     6,Arena 1,2:40,27.1,0.331,300.243,20,331,1,300.243,20,331,1,NA,NA,NA,NA
GS_Pred_NM_1,Pre,2,Trial     6,Arena 2,3:47,26.8,0.206,305.177,21,2,1,305.177,21,2,1,NA,NA,NA,NA
GS_Pred_NM_28,Pre,3,Trial     2,Arena 3,2:56,26.8,0.323,321.983,29,243,1,321.983,29,243,1,NA,NA,NA,NA
GS_Pred_NM_30,Pre,2,Trial     7,Arena 1,4:16,26.9,0.248,326.704,25,7,1,326.704,25,7,1,NA,NA,NA,NA
GS_Pred_NM_8,Pre,1,Trial     3,Arena 4,2:20,26.1,0.246,350.659,20,360,0,350.659,20,360,0,NA,NA,NA,NA
GS_Pred_NM_40,Pre,3,Trial     1,Arena 1,2:30,26.4,0.367,350.926,20,275,1,350.926,20,275,1,NA,NA,NA,NA
GS_Pred_NM_33,Pre,1,Trial     3,Arena 2,2:20,26.1,0.292,351.335,30,26,1,351.335,30,26,1,NA,NA,NA,NA
GS_Pred_NM_2,Pre,2,Trial     7,Arena 3,4:16,26.9,0.318,358.261,26,180,1,358.261,26,180,1,NA,NA,NA,NA
GS_Pred_NM_10,Pre,2,Trial     2,Arena 2,2:06,26.2,0.264,371.321,34,3,1,371.321,34,3,1,NA,NA,NA,NA
GS_Pred_NM_9,Pre,3,Trial     3,Arena 4,3:24,26.8,0.25,373.242,20,360,0,373.242,20,360,0,NA,NA,NA,NA
GS_Pred_NM_31,Pre,3,Trial     5,Arena 3,4:14,27.2,0.276,378.831,21,360,0,378.831,21,360,0,NA,NA,NA,NA
GS_Pred_NM_36,Pre,2,Trial    10,Arena 3,5:40,27.1,0.298,401.166,25,360,0,401.166,25,360,0,NA,NA,NA,NA
GS_Pred_NM_24,Pre,2,Trial     1,Arena 4,12:12,26.1,0.375,413.553,26,69,1,413.553,26,69,1,NA,NA,NA,NA
GS_Pred_NM_25,Pre,1,Trial     7,Arena 3,4:15,27.1,0.28,414.265,23,360,0,414.265,23,360,0,NA,NA,NA,NA
GS_Pred_NM_4,Pre,2,Trial     2,Arena 3,2:06,26.2,0.323,414.974,31,10,1,414.974,31,10,1,NA,NA,NA,NA
GS_Pred_NM_5,Pre,3,Trial     9,Arena 3,3:56,27.5,0.286,426.169,32,360,0,426.169,32,360,0,NA,NA,NA,NA
GS_Pred_NM_24,Pre,1,Trial     4,Arena 3,2:55,26.4,0.301,461.601,24,360,0,461.601,24,360,0,NA,NA,NA,NA
GS_Pred_NM_10,Pre,3,Trial     8,Arena 4,3:30,27.4,0.363,478.793,25,55,1,478.793,25,55,1,NA,NA,NA,NA
GS_Pred_NM_13,Pre,1,Trial     4,Arena 1,2:55,26.4,0.202,512.643,27,127,1,512.643,27,127,1,NA,NA,NA,NA
GS_Pred_NM_1,Pre,3,Trial    10,Arena 4,4:40,27.2,0.323,523.744,25,6,1,523.744,25,6,1,NA,NA,NA,NA
